,Title,Rating,Number of User Reviews,Year,Duration,Genres,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Film-Noir,History,Horror,Music,Musical,Mystery,News,Romance,Sci-Fi,Sport,Thriller,Unknown,War,Western,Cluster
90,Amour,8.1,367.0,2012,127,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
91,The Hurt Locker,7.4,925.0,2009,131,"['Drama', 'Thriller', 'War']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,5
92,Anatomy of a Murder,8.2,43.0,1959,160,"['Drama', 'Mystery']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5
93,Pulp Fiction,9.1,3096.0,1994,154,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
94,Zero Dark Thirty,7.0,1308.0,2012,157,"['Drama', 'History', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,5
95,Collective,7.7,67.0,2020,109,"['Documentary', 'Crime']",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
96,A Separation,8.9,768.0,2011,123,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
97,Double Indemnity,8.6,94.0,1944,107,"['Crime', 'Drama', 'Film-Noir', 'Mystery', 'Thriller']",0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,4
98,Sunrise,7.7,10.0,1927,94,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
99,La Dolce Vita,8.4,86.0,1961,174,"['Comedy', 'Drama']",0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
100,Schindler's List,9.2,1334.0,1993,195,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
101,WALL-E,8.9,1973.0,2008,98,"['Animation', 'Adventure', 'Family', 'Sci-Fi']",0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7
102,Carol,7.9,740.0,2015,118,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
103,Before Midnight,8.3,605.0,2013,109,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
104,Amazing Grace,8.1,39.0,2018,87,"['Documentary', 'Music']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
105,Dunkirk,8.2,3366.0,2017,106,"['Action', 'Drama', 'History', 'Thriller', 'War']",1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,4
106,The Man Who Shot Liberty Valance,8.5,68.0,1962,123,"['Drama', 'Western']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
107,The Searchers,7.6,66.0,1956,119,"['Adventure', 'Drama', 'Western']",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5
108,45 Years,7.3,193.0,2015,95,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
109,Inside the Yellow Cocoon Shell,7.2,42.0,2024,178,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
110,Taxi Driver,8.7,1190.0,1976,114,"['Crime', 'Drama']",0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
111,The Servant,7.9,29.0,1964,116,['Drama'],0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
112,Yi Yi,8.6,75.0,2000,173,"['Drama', 'Romance']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2
113,The Manchurian Candidate,7.9,118.0,1962,126,"['Drama', 'Thriller']",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5
114,Mr. Turner,6.9,163.0,2014,150,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
115,The Irishman,8.1,1379.0,2019,209,"['Biography', 'Crime', 'Drama']",0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
116,Grave of the Fireflies (1988),8.9,210.0,1989,89,"['Animation', 'Drama', 'War']",0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5
117,"Crouching Tiger, Hidden Dragon",8.1,464.0,2000,120,"['Action', 'Adventure', 'Drama', 'Fantasy', 'Romance']",1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3
118,The Wild Child,7.6,7.0,1970,83,"['Biography', 'Drama', 'History']",0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5
119,Stop Making Sense,8.9,70.0,1984,88,"['Documentary', 'Music']",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
